Name,Frequency,Effect,Trigger,Target,Keywords,Effect 2
Regenerator,Daily x2 - Free Action,The user gains Hit Points equal to 1/3rd of its maximum Hit Points. Regenerator may be activated only once per Scene.,The user is recalled into a Pokeball or Takes a Breather.,,,"Trigger - The user is recalled into a Pokeball or Takes a Breather.
The user gains Hit Points equal to 1/3rd of its maximum Hit Points. Regenerator may be activated only once per Scene."
Rivalry,Static,"Whenever the user deals direct damage to a target of the same gender, increase the Damage dealt by +5.",,,,"Whenever the user deals direct damage to a target of the same gender, increase the Damage dealt by +5."
Rock Head,Static,The user ignores the Recoil keyword when attacking.,,,,The user ignores the Recoil keyword when attacking.
Rocket,Scene - Swift Action,"The user’s Sky capability is increased by +3 until the end of the user’s next turn, and the user goes first on the following round, ignoring initiative; Interrupt Moves may not be used in response to their Moves that round.",,,,"The user’s Sky capability is increased by +3 until the end of the user’s next turn, and the user goes first on the following round, ignoring initiative; Interrupt Moves may not be used in response to their Moves that round."
Root Down,At-Will - Shift Action,"Connection - Ingrain. While the user has the Ingrain Coat, they may activate this Ability to gain Temporary Hit Points equal to 1/16th of their Max Hit Points.",,,,"Connection - Ingrain. While the user has the Ingrain Coat, they may activate this Ability to gain Temporary Hit Points equal to 1/16th of their Max Hit Points."
Rough Skin,At-Will - Free Action,The attacker loses a tick of Hit Points.,The user is hit by a damaging Melee Attack,,,"Trigger - The user is hit by a damaging Melee Attack
The attacker loses a tick of Hit Points."
Run Away,Static,"The user cannot be Slowed, Stuck, or Trapped. The user does not provoke Attacks of Opportunity by Shifting.",,,,"The user cannot be Slowed, Stuck, or Trapped. The user does not provoke Attacks of Opportunity by Shifting."
Run Up,Static,"If the user moves in a straight line to a target and uses a damaging Melee Attack, it may add the number of meters traveled in a direct line as Bonus Damage to a Damage Roll.",,,,"If the user moves in a straight line to a target and uses a damaging Melee Attack, it may add the number of meters traveled in a direct line as Bonus Damage to a Damage Roll."
Sand Force,Static,"While in a Sandstorm, the user's Ground, Rock, and Steel-Type Direct-Damage Moves deal +5 Damage. Additionally, the user is immune to damage from Sandstorms.",,,,"While in a Sandstorm, the user's Ground, Rock, and Steel-Type Direct-Damage Moves deal +5 Damage. Additionally, the user is immune to damage from Sandstorms."
Sand Rush,Static,"While the Weather is a Sandstorm, the user gains +4 Speed Combat Stages. Additionally, the user is immune to damage from Sandstorms.",,,,"While the Weather is a Sandstorm, the user gains +4 Speed Combat Stages. Additionally, the user is immune to damage from Sandstorms."
Sand Stream,Scene -  Free Action,"The Weather changes to a Sandstorm for 5 rounds. As a static effect, the user is not damaged by Sandstorm.",,,,"The Weather changes to a Sandstorm for 5 rounds. As a static effect, the user is not damaged by Sandstorm."
Sand Veil,Static,The user’s Evasion is increased by +2 while in a Sandstorm. The user and allies adjacent to the user are not damaged by the Sandstorm.,,,,The user’s Evasion is increased by +2 while in a Sandstorm. The user and allies adjacent to the user are not damaged by the Sandstorm.
Sap Sipper,Static,"The user is immune to the damage and effects of Grass Type attacks. If a damaging Grass Type attack hits the user, the user gains +1 Attack Combat Stage. Defensive.",,,,"The user is immune to the damage and effects of Grass Type attacks. If a damaging Grass Type attack hits the user, the user gains +1 Attack Combat Stage. Defensive."
Scrappy,Static,Ghosts are not immune to the user's Normal and Fighting-Type Moves.,,,,Ghosts are not immune to the user's Normal and Fighting-Type Moves.
Sequence,Scene -  Free Action,"For every allied Electric-Type Pokémon cardinally adjacent to the user, raise the user’s Attack and Special Attack by +1 CS each before calculating damage for the triggering attack. After the attack is resolved, lose all Combat Stages gained this way.",The user uses an Electric Attack,,,"Trigger - The user uses an Electric Attack
For every allied Electric-Type Pokémon cardinally adjacent to the user, raise the user’s Attack and Special Attack by +1 CS each before calculating damage for the triggering attack. After the attack is resolved, lose all Combat Stages gained this way."
Serene Grace,Static,The users Effect Range is increased by +2.,,,,The users Effect Range is increased by +2.
Serpent's Mark,Static,"Arbok’s Advanced and High Abilities depend on the Arbok’s hood pattern. To determine its pattern, roll 1d6 upon evolution or upon generation. If an Arbok is bred, it will have the same pattern as its parent. If both parents are Arboks with different patterns, determine the pattern randomly.

Pattern Name - Adv Ability / High Ability
1) Attack Pattern - Rivalry / Strong Jaw
2) Crush Pattern - Unnerve / Crush Trap
3) Fear Pattern - Frighten / Regal Challenge
4) Life Pattern – Regenerator / Defy Death
5) Speed Pattern - Run Away / Speed Boost
6) Stealth Pattern - Instinct / Infiltrator",,,,"Arbok’s Advanced and High Abilities depend on the Arbok’s hood pattern. To determine its pattern, roll 1d6 upon evolution or upon generation. If an Arbok is bred, it will have the same pattern as its parent. If both parents are Arboks with different patterns, determine the pattern randomly.

Pattern Name - Adv Ability / High Ability
1) Attack Pattern - Rivalry / Strong Jaw
2) Crush Pattern - Unnerve / Crush Trap
3) Fear Pattern - Frighten / Regal Challenge
4) Life Pattern – Regenerator / Defy Death
5) Speed Pattern - Run Away / Speed Boost
6) Stealth Pattern - Instinct / Infiltrator"
Shackle,Scene -  Free Action,Shackle creates a Burst 3. All foes in the burst have their movement capabilities halved until the end of their next turn.,,,,Shackle creates a Burst 3. All foes in the burst have their movement capabilities halved until the end of their next turn.
Shadow Tag,Scene -  Free Action,"The target’s shadow becomes pinned to the target’s current spot for 5 turns. During this time, the target is Slowed and Trapped, and cannot move more than 5 meters from the spot their shadow is pinned to; even being Pushed and other forced movement effects cannot force the target to Move more than 5 meters from that spot.",,An adjacent Trainer or Pokémon,,"Target - An adjacent Trainer or Pokémon
The target’s shadow becomes pinned to the target’s current spot for 5 turns. During this time, the target is Slowed and Trapped, and cannot move more than 5 meters from the spot their shadow is pinned to; even being Pushed and other forced movement effects cannot force the target to Move more than 5 meters from that spot."
Shed Skin,Scene -  Free Action,"The user is cured of one of Paralysis, Freezing, Burns, Poison, or Sleep.",,,,"The user is cured of one of Paralysis, Freezing, Burns, Poison, or Sleep."
Sheer Force,Static,"If a Pokémon with Sheer Force uses a Move with a secondary effect that triggers during Accuracy Roll, increase that Move's Base Damage by +2. However, the secondary effects of Move never trigger. This does not affect Critical Hits, or moves with increased Critical Hit ranges.",,,,"If a Pokémon with Sheer Force uses a Move with a secondary effect that triggers during Accuracy Roll, increase that Move's Base Damage by +2. However, the secondary effects of Move never trigger. This does not affect Critical Hits, or moves with increased Critical Hit ranges."
Shell Armor,Static,The user is immune to Critical Hits; they are instead normal hits. Defensive.,,,,The user is immune to Critical Hits; they are instead normal hits. Defensive.
Shell Cannon,Scene -  Free Action,"When Blastoise uses Aqua Jet, Dive, Flash Cannon, Hydro Cannon, Hydro Pump, Tackle, Waterfall, Water Gun, and Water Spout they may activate this Ability to gain +2 to their Accuracy Roll and deals +4 Bonus Damage with Damage Rolls. When using Aqua Jet, Dive, Tackle, or Waterfall, Blastoise must shift in a straight line to their target to activate this Ability, but their Overland and Swim Speeds are increased by +2 when doing so.",,,,"When Blastoise uses Aqua Jet, Dive, Flash Cannon, Hydro Cannon, Hydro Pump, Tackle, Waterfall, Water Gun, and Water Spout they may activate this Ability to gain +2 to their Accuracy Roll and deals +4 Bonus Damage with Damage Rolls. When using Aqua Jet, Dive, Tackle, or Waterfall, Blastoise must shift in a straight line to their target to activate this Ability, but their Overland and Swim Speeds are increased by +2 when doing so."
Shell Shield,Scene -  Free Action,Connection - Withdraw. The user may activate this Ability to use Withdraw as an Interrupt and a Free Action. The user must still use a Shift Action to stop being Withdrawn.,,,,Connection - Withdraw. The user may activate this Ability to use Withdraw as an Interrupt and a Free Action. The user must still use a Shift Action to stop being Withdrawn.
Shield Dust,Static,"The user ignores the secondary effects that trigger during Accuracy Roll of damaging Moves that target the user. For example, Flamethrower can never inflict the Burn Condition. Defensive.",,,,"The user ignores the secondary effects that trigger during Accuracy Roll of damaging Moves that target the user. For example, Flamethrower can never inflict the Burn Condition. Defensive."
Silk Threads,Static,"Connection - String Shot. Whenever the user uses ""String Shot"", the target becomes Slowed until the end of their next turn.",,,,"Connection - String Shot. Whenever the user uses ""String Shot"", the target becomes Slowed until the end of their next turn."
